BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
t1452,15046.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15046.0
t1453,14900.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14900.0
t1454,14858.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14858.0
t1455,14810.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14810.0
t1456,15038.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15038.0
t1457,16197.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16197.0
t1458,16809.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16809.0
t1459,16546.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16546.0
t1460,16123.000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16123.000000000002
t1461,15589.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15589.0
t1462,14777.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14777.0
t1463,13634.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13634.0
t1464,12447.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12447.0
t1465,18274.635367566952,0.0,-6726.635367566951,0.0,0.0,0.0,0.0,0.0,0.0,-11548.0
t1466,11024.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11024.0
t1467,10774.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10774.0
t1468,10690.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10690.0
t1469,10789.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10789.0
t1470,11193.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11193.0
t1471,12012.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12012.0
t1472,12926.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12926.0
t1473,13927.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13927.0
t1474,14585.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14585.0
t1475,14890.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14890.0
