Segment,1,2,3,4,Total
t173,1.115463080024896e-8,1.2419725588251155e-8,2.0594858342413606e-8,6.026071437448704e-8,1.0442992910540075e-7
t174,1.1154630552036984e-8,1.2419725291105775e-8,2.0594857540343825e-8,6.026070986022412e-8,1.044299232437107e-7
t175,1.115463066495925e-8,1.2419725444196761e-8,2.0594857979491428e-8,6.026071649557158e-8,1.0442993058421902e-7
t176,1.110294403839361e-8,1.235568364567284e-8,2.0419354590106678e-8,5.878240708397979e-8,1.0266038935815292e-7
t177,1.0950754026147577e-8,1.2167504177925103e-8,1.991046067237709e-8,5.475371047587384e-8,9.778242935232361e-8
t178,1.0950754013333692e-8,1.2167504172158895e-8,1.991046067127441e-8,5.475371247861245e-8,9.778243133537945e-8
t179,1.0950754008323062e-8,1.2167504169654051e-8,1.991046066998774e-8,5.4753713183956934e-8,9.778243203192179e-8
t180,1.095075400981223e-8,1.2167504172170515e-8,1.9910460677332006e-8,5.475371333359317e-8,9.778243219290792e-8
t181,1.0950754008963985e-8,1.2167504168293908e-8,1.99104606632715e-8,5.4753712708949334e-8,9.778243154947873e-8
t182,1.095075400878033e-8,1.2167504163180895e-8,1.9910460643026887e-8,5.4753711633420376e-8,9.778243044840849e-8
t183,1.0950754008767364e-8,1.2167504158267513e-8,1.9910460623391816e-8,5.4753710611421285e-8,9.778242940184798e-8
t184,1.0950754011964156e-8,1.2167504162145202e-8,1.9910460632909767e-8,5.475371059611193e-8,9.778242940313105e-8
t185,1.0950754067878975e-8,1.2167504241801295e-8,1.991046085700205e-8,5.475371392207113e-8,9.778243308875345e-8
t186,1.1154630642818325e-8,1.24197254872505e-8,2.0594858184551295e-8,6.026073257142765e-8,1.0442994688604777e-7
t187,1.1351988239679842e-8,1.266487996885706e-8,2.127784647509599e-8,6.65071296667278e-8,1.118018443503607e-7
t188,1.1351981250757752e-8,1.266487126324579e-8,2.1277821887499056e-8,6.650688796691406e-8,1.1180156236841666e-7
