BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t45,15513.19374728608,0.0,-316.1937472860781,0.0,0.0,0.0,0.0,0.0,0.0,-15197.0
t46,16924.23825898198,267.62638770293654,-3002.8646466849173,0.0,0.0,0.0,0.0,0.0,0.0,-14189.0
t47,14196.204907386076,1007.143063500888,-2263.347970886966,0.0,0.0,0.0,0.0,0.0,0.0,-12940.0
t48,14419.092577875916,329.6992282559697,-2940.791806131884,0.0,0.0,0.0,0.0,0.0,0.0,-11808.0
t49,10356.005418931965,1985.7428077279444,-1284.7482266599095,0.0,0.0,0.0,0.0,0.0,0.0,-11057.0
t50,11927.131737569307,1012.6796484092735,-2257.8113859785803,0.0,0.0,0.0,0.0,0.0,0.0,-10682.0
t51,8950.945140982762,2410.772946702547,-859.718087685307,0.0,0.0,0.0,0.0,0.0,0.0,-10502.0
t52,11288.882006822561,1252.8045137826457,-2017.6865206052082,0.0,0.0,0.0,0.0,0.0,0.0,-10524.0
t53,11736.450259965806,1217.520387211023,-2052.970647176831,0.0,0.0,0.0,0.0,0.0,0.0,-10901.0
t54,13059.996905231414,1115.7470645782203,-2154.7439698096337,0.0,0.0,0.0,0.0,0.0,0.0,-12021.0
t55,12775.017818858358,1227.982181141643,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14003.0
t56,11842.508965612144,3270.491034387854,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15113.0
t57,14189.906963063486,1111.0930369365142,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15301.0
t58,18676.491034387855,0.0,-3270.491034387854,0.0,0.0,0.0,0.0,0.0,0.0,-15406.0
t59,18814.491034387855,0.0,-3270.491034387854,0.0,0.0,0.0,0.0,0.0,0.0,-15544.0
t60,15921.443610155158,1459.5237121163495,-1810.9673222715044,0.0,0.0,0.0,0.0,0.0,0.0,-15570.0
t61,15779.068578250633,1499.211228068609,-1771.279806319245,0.0,0.0,0.0,0.0,0.0,0.0,-15507.0
t62,15757.068578250635,1499.211228068609,-1771.279806319245,0.0,0.0,0.0,0.0,0.0,0.0,-15485.0
t63,15698.068578250633,1499.211228068609,-1771.279806319245,0.0,0.0,0.0,0.0,0.0,0.0,-15426.0
t64,15911.068578250635,1499.211228068609,-1771.279806319245,0.0,0.0,0.0,0.0,0.0,0.0,-15639.0
t65,17132.068578250633,1499.211228068609,-1771.279806319245,0.0,0.0,0.0,0.0,0.0,0.0,-16860.0
t66,16531.236574540617,2467.1272299236175,-803.3638044642366,0.0,0.0,0.0,0.0,0.0,0.0,-18195.0
t67,18098.084095640483,1701.203469373685,-1569.2875650141689,0.0,0.0,0.0,0.0,0.0,0.0,-18230.0
t68,15218.1547044192,2988.1681649843276,-282.3228694035267,0.0,0.0,0.0,0.0,0.0,0.0,-17924.0
t69,17559.833958534997,700.2375839740537,-919.0715425090524,0.0,0.0,0.0,0.0,0.0,0.0,-17341.0
t70,17404.966542422833,777.9021535796621,-1864.8686960024959,0.0,0.0,0.0,0.0,0.0,0.0,-16318.000000000002
t71,16592.133760945195,815.1786367213283,-2455.3123976665256,0.0,0.0,0.0,0.0,0.0,0.0,-14952.0
t72,17026.49103438785,0.0,-3270.491034387854,0.0,0.0,0.0,0.0,0.0,0.0,-13756.0
t73,13284.068578250635,1499.2112280686067,-1771.2798063192422,0.0,0.0,0.0,0.0,0.0,0.0,-13012.0
t74,12893.068578250637,1499.2112280686067,-1771.2798063192422,0.0,0.0,0.0,0.0,0.0,0.0,-12621.0
t75,12694.068578250633,1499.2112280685947,-1771.279806319228,0.0,0.0,0.0,0.0,0.0,0.0,-12422.0
t76,12716.068578250637,1499.2112280686188,-1771.2798063192565,0.0,0.0,0.0,0.0,0.0,0.0,-12444.0
t77,13056.068578250635,1499.2112280685947,-1771.279806319228,0.0,0.0,0.0,0.0,0.0,0.0,-12784.0
t78,14112.068578250635,1499.2112280686067,-1771.2798063192422,0.0,0.0,0.0,0.0,0.0,0.0,-13840.0
