BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t120,9621.50113915801,3086.4988608419903,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12708.0
t121,11909.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11909.0
t122,11476.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11476.0
t123,9165.437297078011,2088.5627029219877,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11254.0
t124,6795.385984180048,4403.614015819952,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11199.0
t125,9064.85423178094,2407.145768219059,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11472.0
t126,10806.252383923089,1635.7476160769106,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12442.0
t127,11749.34417241647,2515.6558275835314,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14265.0
t128,9784.730208065124,5573.269791934877,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15358.0
t129,15484.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15484.0
t130,23831.91970689838,0.0,-8331.919706898381,0.0,0.0,0.0,0.0,0.0,0.0,-15500.0
t131,21938.51989703417,1032.9275137751024,-7539.447410809271,0.0,0.0,0.0,0.0,0.0,0.0,-15432.0
t132,21398.505429687935,1188.4347474482183,-7383.940177136155,0.0,0.0,0.0,0.0,0.0,0.0,-15203.0
t133,23524.374924584372,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-14952.0
t134,21075.698587501167,1158.3381685416043,-7414.036756042769,0.0,0.0,0.0,0.0,0.0,0.0,-14820.0
t135,15747.81833445057,3719.2782950669016,-4853.096629517472,0.0,0.0,0.0,0.0,0.0,0.0,-14614.0
t136,11568.154408165654,3116.8455918343475,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14685.0
t137,11547.930672677323,3993.0693273226775,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15541.0
t138,14807.776699172604,1554.2233008273936,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16361.999999999998
t139,13033.501851119028,3066.4981488809726,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16100.000000000002
t140,8021.027076828286,7613.972923171716,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15635.0
t141,11614.828304522722,3402.1716954772783,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15017.0
t142,12083.275992124063,2128.7240078759364,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14212.0
t143,13116.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13116.0
t144,13009.104206913204,0.0,-1019.1042069132037,0.0,0.0,0.0,0.0,0.0,0.0,-11990.0
t145,11731.115885827085,0.0,-612.1158858270858,0.0,0.0,0.0,0.0,0.0,0.0,-11119.0
t146,14195.728175409671,0.0,-3559.728175409673,0.0,0.0,0.0,0.0,0.0,0.0,-10636.0
t147,16207.759172870674,0.0,-5834.759172870674,0.0,0.0,0.0,0.0,0.0,0.0,-10373.0
t148,15263.012537708268,0.0,-4995.012537708267,0.0,0.0,0.0,0.0,0.0,0.0,-10268.0
t149,11079.21628742949,0.0,-709.2162874294914,0.0,0.0,0.0,0.0,0.0,0.0,-10370.0
t150,5892.225603264864,4872.774396735137,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10765.0
t151,4967.805640096319,6510.19435990368,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11478.0
t152,5097.582360695153,7132.417639304847,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12230.0
t153,12008.800132427208,992.1998675727909,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13001.0
t154,19349.96977637212,0.0,-5883.969776372119,0.0,0.0,0.0,0.0,0.0,0.0,-13466.0
t155,22169.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-13597.0
t156,19695.588918547634,1182.393003018368,-7389.981921566005,0.0,0.0,0.0,0.0,0.0,0.0,-13488.0
t157,21812.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-13240.0
t158,18417.165984545496,1557.6044700194398,-7014.770454564934,0.0,0.0,0.0,0.0,0.0,0.0,-12960.0
t159,14862.720069607069,3236.8274274886526,-5335.547497095721,0.0,0.0,0.0,0.0,0.0,0.0,-12764.0
t160,8725.610250957223,6372.8823368135745,-2199.4925877707983,0.0,0.0,0.0,0.0,0.0,0.0,-12899.0
t161,6703.817633326452,7856.2786456289605,-716.0962789554128,0.0,0.0,0.0,0.0,0.0,0.0,-13844.0
t162,6218.625075415627,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14791.0
t163,6045.625075415627,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14618.0
t164,22721.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-14149.0
t165,5131.625075415627,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13704.0
t166,21635.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-13063.0
t167,20796.374924584372,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-12224.0
