Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,653,8402.0
,,,,,,,654,8598.0
,,,,,,,655,8876.0
,,,,,,,656,9539.0
,,,,,,,657,10451.0
,,,,,,,658,11148.0
,,,,,,,659,11515.0
,,,,,,,660,11721.0
,,,,,,,661,11765.0
,,,,,,,662,11678.0
,,,,,,,663,11606.0
,,,,,,,664,11630.0
,,,,,,,665,11818.0
,,,,,,,666,12094.0
,,,,,,,667,12201.0
,,,,,,,668,12644.0
,,,,,,,669,12843.0
,,,,,,,670,12110.0
,,,,,,,671,11088.0
,,,,,,,672,10111.0
,,,,,,,673,9592.0
,,,,,,,674,9129.0
,,,,,,,675,8895.0
,,,,,,,676,8853.0
,,,,,,,677,9095.0
,,,,,,,678,9850.0
,,,,,,,679,11445.0
,,,,,,,680,12808.0
,,,,,,,681,13406.0
,,,,,,,682,13783.0
,,,,,,,683,14092.0
,,,,,,,684,14191.0
,,,,,,,685,14162.0
,,,,,,,686,14114.0
,,,,,,,687,13964.0
,,,,,,,688,13871.0
,,,,,,,689,13951.0
,,,,,,,690,14092.0
,,,,,,,691,13973.0
,,,,,,,692,13808.0
,,,,,,,693,13837.0
,,,,,,,694,13144.0
,,,,,,,695,11806.0
,,,,,,,696,10548.0
,,,,,,,697,9731.0
,,,,,,,698,9291.0
,,,,,,,699,9069.0
,,,,,,,700,9004.0
,,,,,,,701,9225.0
,,,,,,,702,9935.0
,,,,,,,703,11536.0
,,,,,,,704,12867.0
,,,,,,,705,13400.0
,,,,,,,706,13692.0
,,,,,,,707,13935.0
,,,,,,,708,14062.0
,,,,,,,709,14034.0
,,,,,,,710,14036.0
,,,,,,,711,13887.0
,,,,,,,712,13800.0
,,,,,,,713,13840.0
,,,,,,,714,13867.0
,,,,,,,715,13718.0
,,,,,,,716,13673.0
,,,,,,,717,13818.0
,,,,,,,718,13301.0
,,,,,,,719,11973.0
,,,,,,,720,10712.0
,,,,,,,721,9796.0
,,,,,,,722,9311.0
,,,,,,,723,9078.0
,,,,,,,724,8984.0
,,,,,,,725,9224.0
,,,,,,,726,9902.0
,,,,,,,727,11496.0
,,,,,,,728,12830.0
,,,,,,,729,13376.0
,,,,,,,730,13694.0
,,,,,,,731,14001.0
,,,,,,,732,14150.0
,,,,,,,733,14184.0
,,,,,,,734,14235.0
,,,,,,,735,14132.0
,,,,,,,736,14044.0
,,,,,,,737,14041.0
,,,,,,,738,13989.0
,,,,,,,739,13744.0
,,,,,,,740,13635.0
,,,,,,,741,13900.0
,,,,,,,742,13419.0
,,,,,,,743,12027.0
,,,,,,,744,10712.0
,,,,,,,745,9854.0
,,,,,,,746,9354.0
,,,,,,,747,9102.0
,,,,,,,748,9033.0
,,,,,,,749,9256.0
,,,,,,,750,9938.0
,,,,,,,751,11514.0
,,,,,,,752,12792.0
,,,,,,,753,13390.0
,,,,,,,754,13884.0
,,,,,,,755,14304.0
,,,,,,,756,14578.0
,,,,,,,757,14611.0
,,,,,,,758,14707.0
,,,,,,,759,14610.0
,,,,,,,760,14540.0
,,,,,,,761,14501.0
,,,,,,,762,14382.0
,,,,,,,763,14086.0
,,,,,,,764,13931.0
,,,,,,,765,14163.0
,,,,,,,766,13688.0
,,,,,,,767,12334.0
,,,,,,,768,10980.0
,,,,,,,769,10037.0
,,,,,,,770,9545.0
,,,,,,,771,9252.0
,,,,,,,772,9121.0
,,,,,,,773,9331.0
,,,,,,,774,9956.0
,,,,,,,775,11506.0
,,,,,,,776,12907.0
,,,,,,,777,13627.0
,,,,,,,778,14182.0
,,,,,,,779,14686.0
,,,,,,,780,14998.0
,,,,,,,781,15120.0
,,,,,,,782,15311.0
,,,,,,,783,15308.0
,,,,,,,784,15190.0
,,,,,,,785,15089.0
,,,,,,,786,14823.0
,,,,,,,787,14386.0
,,,,,,,788,14106.0
,,,,,,,789,14228.0
,,,,,,,790,13827.0
,,,,,,,791,12656.0
,,,,,,,792,11397.0
,,,,,,,793,10428.0
,,,,,,,794,9804.0
,,,,,,,795,9457.0
,,,,,,,796,9225.0
,,,,,,,797,9182.0
,,,,,,,798,9227.0
,,,,,,,799,9859.0
,,,,,,,800,10932.0
,,,,,,,801,12056.0
,,,,,,,802,12782.0
,,,,,,,803,13187.0
,,,,,,,804,13355.0
,,,,,,,805,13366.0
,,,,,,,806,13271.0
,,,,,,,807,13187.0
,,,,,,,808,13205.0
,,,,,,,809,13346.0
,,,,,,,810,13447.0
,,,,,,,811,13352.0
,,,,,,,812,13201.0
,,,,,,,813,13392.0
,,,,,,,814,13274.0
,,,,,,,815,12352.0
,,,,,,,816,11249.0
,,,,,,,817,10288.0
,,,,,,,818,9688.0
,,,,,,,819,9314.0
,,,,,,,820,9100.0
,,,,,,,821,9000.0
,,,,,,,822,8908.0
,,,,,,,823,9314.0
,,,,,,,824,10258.0
,,,,,,,825,11425.0
,,,,,,,826,12404.0
,,,,,,,827,13069.0
,,,,,,,828,13508.0
,,,,,,,829,13774.0
,,,,,,,830,13847.0
,,,,,,,831,13895.0
,,,,,,,832,13992.0
,,,,,,,833,14180.0
,,,,,,,834,14312.0
,,,,,,,835,14220.0
,,,,,,,836,14020.0
,,,,,,,837,14132.0
,,,,,,,838,13810.0
,,,,,,,839,12489.0
,,,,,,,840,11165.0
,,,,,,,841,10235.0
,,,,,,,842,9697.0
,,,,,,,843,9430.0
,,,,,,,844,9349.0
,,,,,,,845,9557.0
,,,,,,,846,10243.0
,,,,,,,847,11870.0
,,,,,,,848,13336.0
,,,,,,,849,14125.0
,,,,,,,850,14677.0
,,,,,,,851,15106.0
,,,,,,,852,15370.0
,,,,,,,853,15515.0
,,,,,,,854,15656.0
,,,,,,,855,15658.0
,,,,,,,856,15667.0
,,,,,,,857,15684.0
,,,,,,,858,15547.0
,,,,,,,859,15119.0
,,,,,,,860,14771.0
,,,,,,,861,14842.0
,,,,,,,862,14288.0
,,,,,,,863,12797.0
,,,,,,,864,11363.0
,,,,,,,865,10434.0
,,,,,,,866,9866.0
,,,,,,,867,9599.0
,,,,,,,868,9493.0
,,,,,,,869,9726.0
,,,,,,,870,10380.0
